X1,X2,S2,S2_conf
A1,AL1,-0.000387411521951,0.000521924041931
A1,C1,-0.000317161587818,0.000538203070295
A1,CO1,-0.000310736918054,0.000537218633819
A1,CU1,-0.000318409136457,0.000537765701395
A1,D1,-0.000316341516725,0.000537841461067
A1,G1,-0.000324883167286,0.000538761216574
A1,OG1,-0.000316186451681,0.000537615442737
A1,OD1,-0.000312675706021,0.000537895653819
A1,OF1,-0.000315624667998,0.000537784514488
A1,OT1,-0.000317978257748,0.000537034554235
A1,P1,-0.000316400704538,0.000537904789372
A1,PT1,-0.000317579690968,0.000537494638232
A1,S1,-0.000317685471206,0.000537993952564
A1,V1,-0.000313670467933,0.000538203654898
A1,A3,-0.000278228760322,0.000523006020888
A1,AL3,-0.000254070803434,0.000515522607873
A1,C3,-0.000323316495039,0.000538922270383
A1,CO3,-0.00031766246485,0.000538932366873
A1,CU3,-0.000316517962141,0.000537803037465
A1,D3,-0.000316402067381,0.000537841001492
A1,G3,-0.00033683638515,0.000535851266327
A1,OG3,-0.00031605248595,0.000537792921872
A1,OD3,-0.000320126370899,0.000538199297343
A1,OF3,-0.000315170562002,0.000536290800195
A1,OT3,-0.000317305344489,0.000534628053133
A1,P3,-0.000316425737801,0.000537880117074
A1,PT3,-0.000317813432086,0.000537519156403
A1,S3,-0.000318246572315,0.00053782234225
A1,V3,-0.000257844564837,0.000544124528912
A1,SW,-0.00022479107113,0.000522531661966
A1,A2,-0.00031741001871,0.000537678188734
A1,AL2,-0.000318764138481,0.000538724534178
A1,C2,-0.000316499387798,0.000537848353016
A1,CO2,-0.000316940709824,0.000537990408183
A1,CU2,-0.000316388986775,0.000537908933104
A1,D2,-0.000316387717674,0.000537904542088
A1,G2,-0.000317923366331,0.000537708851715
A1,OG2,-0.000316414417232,0.00053789094428
A1,OD2,-0.000316369134262,0.00053790531667
A1,OF2,-0.000316544063611,0.000537891614687
A1,OT2,-0.000316209669486,0.000538000231428
A1,P2,-0.000316396834004,0.000537905079451
A1,PT2,-0.00031641734509,0.000537947239099
A1,S2,-0.000316388712266,0.000537904081983
A1,V2,-0.000317109806855,0.000537831130553
A1,GR,-0.000302731114864,0.000541937780038
A1,EP,-0.000312595126354,0.000539923765961
A2,AL2,5.04250583786006E-05,0.000124191585894
A2,C2,5.22327379503169E-05,0.000124482375508
A2,CO2,5.17970778361146E-05,0.000124575943917
A2,CU2,5.18045862159528E-05,0.000124566128354
A2,D2,5.18074204568323E-05,0.000124562063259
A2,G2,5.19607418225678E-05,0.000124605350389
A2,OG2,5.1462770438831E-05,0.000124662545294
A2,OD2,5.18117454391802E-05,0.000124561711322
A2,OF2,5.17583575048723E-05,0.000124554226402
A2,OT2,5.19570756192217E-05,0.000124338469475
A2,P2,5.18071803863295E-05,0.000124563217547
A2,PT2,5.18141273553263E-05,0.000124570918998
A2,S2,5.17418928309248E-05,0.000124590614704
A2,V2,4.98190068492246E-05,0.000126040358182
A2,GR,6.89946777029313E-05,0.00011983335978
A2,EP,5.48563068831712E-05,0.000122649342033
A3,AL3,0.002780098235448,0.002765107544033
A3,C3,0.00029619942575,0.002747875976366
A3,CO3,0.000283960032545,0.002753468885985
A3,CU3,0.000304803872,0.002747362869929
A3,D3,0.000310863216039,0.002749333888218
A3,G3,0.000345800250216,0.002755654215613
A3,OG3,0.000310295085612,0.002746923087154
A3,OD3,0.000304944016277,0.002745936755044
A3,OF3,0.000329848865538,0.002745008523239
